Item Name,Year,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Units Sold,Units Refunded,Category
001: fruity,2024,54,297.0,0,0.0,-4.74,292.26,54,0,Bakeshop Specials
002: choco,2024,73,438.0,0,0.0,-5.17,432.83,73,0,Bakeshop Specials
150 Mochi Donuts,2025,1,517.5,0,0.0,-103.5,414.0,1,0,Uncategorized
2 dozen mochi donuts,2024,1,84.0,0,0.0,0.0,84.0,1,0,Uncategorized
Acai Bowl,2024,1,3.5,0,0.0,-3.5,0.0,1,0,Mochi Donuts
Americano,2024,144,650.25,-1,-4.5,-52.8,592.95,144,-1,Espresso Drinks
Americano,2025,145,657.75,-2,-9.0,-33.17,615.58,145,-2,Espresso Drinks
Apricot Osmanthus Tea,2025,183,1144.75,-1,-6.25,-31.58,1106.92,183,-1,Uncategorized
BD Caramel Pear,2024,135,776.25,0,0.0,-3.45,772.8,135,0,Brioche Donuts
BD Lemon Cheesecake,2024,106,609.5,0,0.0,-3.45,606.05,106,0,Brioche Donuts
BD Yuzu Cream Cheese,2025,105,577.5,0,0.0,-12.37,565.13,105,0,Brioche Donuts
BD: Apple Pie,2024,116,638.0,-1,-5.5,-14.29,618.21,116,-1,Brioche Donuts
BD: Banana Caramel,2025,191,1050.5,0,0.0,-3.57,1046.93,191,0,Brioche Donuts
BD: Banana Cream Pie,2024,317,1696.25,0,0.0,-17.33,1678.92,317,0,Brioche Donuts
BD: Biscoff cheesecake,2025,129,709.5,0,0.0,-20.93,688.57,129,0,Brioche Donuts
BD: Black Earl Grey,2024,203,1120.5,0,0.0,-10.6,1109.9,203,0,Brioche Donuts
BD: Black Sesame,2024,37,222.0,0,0.0,-8.33,213.67,37,0,Brioche Donuts
BD: Black Sesame Berry,2024,179,1029.25,0,0.0,-12.69,1016.56,179,0,Brioche Donuts
BD: Blackberry Earl Grey,2024,104,598.0,0,0.0,-20.71,577.29,104,0,Brioche Donuts
BD: Boricha,2024,118,678.5,0,0.0,-20.12,658.38,118,0,Brioche Donuts
BD: Brown Sugar & Date Caramel,2024,116,696.0,-1,-6.0,-27.0,663.0,116,-1,Brioche Donuts
BD: Brown Sugar Caramel,2024,149,819.5,0,0.0,-10.3,809.2,149,0,Brioche Donuts
BD: Calamansi,2024,506,2783.0,-2,-11.0,-61.99,2710.01,506,-2,Brioche Donuts
BD: Che Thai,2024,166,913.0,-2,-11.0,-25.17,876.83,166,-2,Brioche Donuts
BD: Choc Citrus,2024,162,891.0,0,0.0,-20.91,870.09,162,0,Brioche Donuts
BD: Choc Sea Salt Cream,2025,129,709.5,0,0.0,-1.1,708.4,129,0,Brioche Donuts
BD: Chocolate Espresso,2024,163,855.75,0,0.0,-18.9,836.85,163,0,Brioche Donuts
BD: Coconut Sago Cream Mango,2024,17,97.75,0,0.0,-7.47,90.28,17,0,Brioche Donuts
BD: Cookie Butter,2025,140,770.0,0,0.0,-9.62,760.38,140,0,Brioche Donuts
BD: Cookies N' Cream,2024,106,530.0,0,0.0,-22.26,507.74,106,0,Brioche Donuts
BD: Creme Brulee,2024,351,2003.0,0,0.0,-26.83,1976.17,351,0,Brioche Donuts
BD: Creme Brulee,2025,129,709.5,0,0.0,-14.3,695.2,129,0,Brioche Donuts
BD: Dalgona,2024,78,409.5,0,0.0,0.0,409.5,78,0,Brioche Donuts
BD: Dark Chico Lingonberry,2024,108,594.0,0,0.0,-6.32,587.68,108,0,Brioche Donuts
BD: Dirty Chai,2024,152,798.0,0,0.0,-12.08,785.92,152,0,Brioche Donuts
