display_name,2024,2025,dollar_change,pct_change
Matcha Strawberry,40651.68,100247.79,59596.10999999999,146.6
Einspanner: Matcha,88320.46,144080.98,55760.520000000004,63.1
MD: Cinnamon Sugar,28524.04,58138.18,29614.14,103.8
Latte: Matcha,18507.14,32992.04,14484.900000000001,78.3
Matcha Black Sesame,29862.06,40993.5,11131.439999999999,37.3
Strawberry Milk,14331.589999999998,22643.9,8312.310000000003,58.0
Hojicha Black Sesame,16574.27,23746.6,7172.329999999998,43.3
Einspanner: Espresso,61729.67,66635.82,4906.150000000009,7.9
Thai Tea Cream Top,26657.74,30662.52,4004.779999999999,15.0
Einspanner: Hojicha,21219.63,24915.6,3695.9699999999975,17.4
Hojicha Strawberry,8924.41,12041.38,3116.9699999999993,34.9
Latte: Hojicha,5244.58,8120.06,2875.4800000000005,54.8
Vietnamese Iced Coffee,21551.07,23317.99,1766.920000000002,8.2
Cream Top,6236.58,5537.65,-698.9300000000003,-11.2
Black Sesame Cream Top,40606.05,39808.8,-797.25,-2.0
Jasmine Oat Latte,12726.67,11114.94,-1611.7299999999996,-12.7
Sook Cream Top,9650.1,6393.889999999999,-3256.210000000001,-33.7
