display_name,2024,2025,dollar_change,pct_change
Matcha Strawberry,40651.68,100247.79,59596.11,146.6
Einspanner: Matcha,88320.46,144080.98,55760.52,63.13
MD: Cinnamon Sugar,28524.04,58138.18,29614.14,103.82
Latte: Matcha,18507.14,32992.04,14484.9,78.27
Matcha Black Sesame,29862.06,40993.5,11131.44,37.28
Strawberry Milk,14331.59,22643.9,8312.31,58.0
Hojicha Black Sesame,16574.27,23746.6,7172.33,43.27
Einspanner: Espresso,61729.67,66635.82,4906.15,7.95
Thai Tea Cream Top,26657.74,30662.52,4004.78,15.02
Einspanner: Hojicha,21219.63,24915.6,3695.97,17.42
Hojicha Strawberry,8924.41,12041.38,3116.97,34.93
Latte: Hojicha,5244.58,8120.06,2875.48,54.83
Vietnamese Iced Coffee,21551.07,23317.99,1766.92,8.2
Cream Top,6236.58,5537.65,-698.93,-11.21
Black Sesame Cream Top,40606.05,39808.8,-797.25,-1.96
Jasmine Oat Latte,12726.67,11114.94,-1611.73,-12.66
Sook Cream Top,9650.1,6393.89,-3256.21,-33.74
