Item Name,Net Sales,revenue_share,cumulative_revenue_share
Einspanner: Matcha,232401.44,0.09853168099950325,0.09853168099950325
Matcha Strawberry,140899.47,0.059737416562647284,0.15826909756215055
Einspanner: Espresso,128365.49,0.0544233611978692,0.21269245876001974
MD: Cinnamon Sugar,86662.22,0.036742346414672694,0.24943480517469244
Black Sesame Cream Top,80414.85,0.034093637061039316,0.28352844223573176
Matcha Black Sesame,70855.56,0.03004076667924761,0.31356920891497936
Thai Tea Cream Top,57320.26,0.024302179767597767,0.3378713886825771
GFM: Ube,56602.03999999999,0.023997674666736673,0.3618690633493138
Latte: Matcha,51499.18,0.021834205396902867,0.38370326874621663
Einspanner: Hojicha,46135.229999999996,0.01956004130266453,0.40326331004888116
Vietnamese Iced Coffee,44869.06,0.01902322079702936,0.4222865308459105
Hojicha Black Sesame,40320.869999999995,0.01709491602316423,0.4393814468690747
Strawberry Milk,36975.49,0.015676568895099455,0.45505801576417415
Banana Matcha,29954.75,0.012699972390101672,0.46775798815427583
GFM: Pandan,26994.690000000002,0.011444990116070195,0.479202978270346
Coconut Matcha Cloud,24537.050000000003,0.010403019806025563,0.48960599807637156
Jasmine Oat Latte,23841.61,0.010108172785136645,0.4997141708615082
Ube Matcha Cream Top,22544.58,0.009558268506545318,0.5092724393680536
Hojicha Strawberry,20965.79,0.008888905904294635,0.5181613452723481
MD: Dubai Chocolate,18300.15,0.007758749438226629,0.5259200947105748
Matcha Mango,17415.36,0.007383623337323164,0.5333037180478979
Double Matcha,17178.32,0.007283125037208835,0.5405868430851067
Banana Cream Top,16760.940000000002,0.007106167643934626,0.5476930107290414
Sook Cream Top,16043.99,0.00680220098739156,0.554495211716433
GFM: Chocolate,15669.830000000002,0.006643567659806438,0.5611387793762395
Cookie Butter Espresso Cream Top,15562.36,0.006598003399288015,0.5677367827755275
Latte: Hojicha,13364.64,0.005666231866520281,0.5734030146420478
MD: Cinnamon Sugar Nutella,12623.94,0.005352195877258201,0.578755210519306
Cream Top,11774.23,0.004991942710745601,0.5837471532300517
MD: Thai Tea Oreo,10929.939999999999,0.004633987471952456,0.5883811407020041
MD: Strawberry Passionfruit,10721.24,0.004545504535596313,0.5929266452376004
MD: Tiramisu,10068.54,0.004268778073882582,0.597195423311483
MD: Passionfruit,9494.86,0.004025553872019655,0.6012209771835026
ube espresso cream top,8638.11,0.0036623159433031875,0.6048832931268059
Matcha Blueberry,8559.65,0.003629051107718601,0.6085123442345245
Ube Mochi Muffin,8434.74,0.0035760927771951415,0.6120884370117197
Cookie Butter Hojicha Cream Top,7764.91,0.0032921036767666017,0.6153805406884862
MD: Guava Cream Cheese,7728.16,0.0032765227092961258,0.6186570633977824
MD: Raspberry Lychee,7307.83,0.0030983145989052384,0.6217553779966876
MD: POG,7040.83,0.002985114100548312,0.6247404920972359
MD: Raspberry Yuzu,7020.12,0.002976333642417331,0.6277168257396533
BD: Mango Sticky Rice,6762.94,0.002867296548157277,0.6305841222878106
MD: Earl Grey Chocolate,6572.41,0.002786517181296059,0.6333706394691067
MD: Lemon Blueberry,6492.83,0.0027527774971790393,0.6361234169662857
MD: Triple Berry,6478.110000000001,0.0027465366307527703,0.6388699535970385
MD: Cookie Butter,6205.59,0.0026309958074859923,0.6415009494045245
strawberry rose matcha,6040.68,0.002561078600804192,0.6440620280053287
MD: Okinawa Milk Tea,6028.41,0.0025558764655426204,0.6466179044708714
MD: Blueberry Cornflakes,5982.24,0.0025363016827368553,0.6491542061536083
MD: Flan,5900.02,0.0025014427127933855,0.6516556488664017
MD: Taro Lavender,5812.93,0.0024645189996776373,0.6541201678660793
